Ticker,Timestamp,Price,Size
AAPL,2025-05-06 16:36:02.736000+00:00,199.37,100
AAPL,2025-05-06 16:36:02.736000+00:00,199.37,100
AAPL,2025-05-06 16:36:02.740000+00:00,199.36,100
AAPL,2025-05-06 16:36:02.742000+00:00,199.36,100
GOOGL,2025-05-06 16:36:02.742000+00:00,164.05,100
GOOGL,2025-05-06 16:36:02.746000+00:00,164.05,100
T,2025-05-06 16:36:05.282000+00:00,27.99,100
AAPL,2025-05-06 16:36:07.055000+00:00,199.38,100
AAPL,2025-05-06 16:36:16.568000+00:00,199.4,100
ADI,2025-05-06 16:36:17.404000+00:00,196.17,100
T,2025-05-06 16:36:17.410000+00:00,28.0,142
AAPL,2025-05-06 16:36:18.997000+00:00,199.43,100
AAPL,2025-05-06 16:36:18.997000+00:00,199.43,100
LNT,2025-05-06 16:36:19.257000+00:00,61.34,100
AAPL,2025-05-06 16:36:25.907000+00:00,199.41,100
AAPL,2025-05-06 16:36:30.973000+00:00,199.35,100
AAPL,2025-05-06 16:36:30.973000+00:00,199.36,100
T,2025-05-06 16:36:30.564000+00:00,27.99,100
AMZN,2025-05-06 16:36:31.166000+00:00,186.47,100
AAPL,2025-05-06 16:36:32.079000+00:00,199.35,100
AMZN,2025-05-06 16:36:32.108000+00:00,186.49,100
GOOGL,2025-05-06 16:36:34.416000+00:00,164.1,100
AAPL,2025-05-06 16:36:42.293000+00:00,199.375,100
AAPL,2025-05-06 16:36:47.650000+00:00,199.39,100
GOOGL,2025-05-06 16:36:50.483000+00:00,164.11,100
ADBE,2025-05-06 16:36:51.776000+00:00,384.73,100
AAPL,2025-05-06 16:36:57.048000+00:00,199.4,100
T,2025-05-06 16:36:57.383000+00:00,28.0,100
