Ticker,Timestamp,Price,Size,Exchange
ABNB,2025-04-25 15:37:36.630019+00:00,121.65,44.0,V
AMD,2025-04-25 15:37:36.948328+00:00,95.025,5.0,V
GOOGL,2025-04-25 15:37:37.001393+00:00,162.02,95.0,V
AIG,2025-04-25 15:37:37.172838+00:00,81.0,3.0,V
AMZN,2025-04-25 15:37:37.353095+00:00,186.59,81.0,V
GOOGL,2025-04-25 15:37:37.913212+00:00,162.01,2.0,V
ABNB,2025-04-25 15:37:38.318057+00:00,121.61,50.0,V
AMCR,2025-04-25 15:37:38.964032+00:00,9.515,500.0,V
ABNB,2025-04-25 15:37:40.149821+00:00,121.63,24.0,V
GOOGL,2025-04-25 15:37:40.659926+00:00,162.045,200.0,V
ABNB,2025-04-25 15:37:41.158000+00:00,121.595,50.0,V
ABNB,2025-04-25 15:37:41.436376+00:00,121.595,50.0,V
ADBE,2025-04-25 15:37:42.197708+00:00,365.84,70.0,V
GOOGL,2025-04-25 15:37:42.219950+00:00,162.09,1.0,V
AMD,2025-04-25 15:37:42.350397+00:00,95.08,100.0,V
AMZN,2025-04-25 15:37:43.490257+00:00,186.655,8.0,V
A,2025-04-25 15:37:43.766843+00:00,105.38,8.0,V
ABNB,2025-04-25 15:37:43.896589+00:00,121.6,100.0,V
AMZN,2025-04-25 15:37:44.030944+00:00,186.66,1.0,V
GOOGL,2025-04-25 15:37:44.186844+00:00,162.09,100.0,V
AOS,2025-04-25 15:37:44.392181+00:00,64.59,1.0,V
ABNB,2025-04-25 15:37:44.395158+00:00,121.6,100.0,V
AMZN,2025-04-25 15:37:44.474081+00:00,186.67,5.0,V
ADBE,2025-04-25 15:37:44.622568+00:00,365.92,76.0,V
ARE,2025-04-25 15:37:45.002895+00:00,75.87,1.0,V
AMZN,2025-04-25 15:37:45.006737+00:00,186.7,4.0,V
ABNB,2025-04-25 15:37:45.602611+00:00,121.61,100.0,V
GOOG,2025-04-25 15:37:46.202688+00:00,164.23,12.0,V
GOOG,2025-04-25 15:37:46.314920+00:00,164.24,100.0,V
GOOGL,2025-04-25 15:37:46.318632+00:00,162.13,1.0,V
AMT,2025-04-25 15:37:46.494643+00:00,210.36,77.0,V
AMD,2025-04-25 15:37:46.755491+00:00,95.13,2.0,V
AMD,2025-04-25 15:37:46.756357+00:00,95.13,1.0,V
AMD,2025-04-25 15:37:46.756368+00:00,95.13,99.0,V
AMD,2025-04-25 15:37:46.756417+00:00,95.13,1.0,V
AMD,2025-04-25 15:37:46.756535+00:00,95.14,100.0,V
AMD,2025-04-25 15:37:46.756552+00:00,95.14,100.0,V
AOS,2025-04-25 15:37:46.759745+00:00,64.6,100.0,V
ABNB,2025-04-25 15:37:46.938841+00:00,121.61,100.0,V
ABNB,2025-04-25 15:37:46.939926+00:00,121.66,100.0,V
ABNB,2025-04-25 15:37:46.939937+00:00,121.66,44.0,V
AKAM,2025-04-25 15:37:48.433072+00:00,79.08,1.0,V
