Ticker,Timestamp,Price,Size,Exchange
ARE,2025-04-24 16:08:26.092542+00:00,77.265,2.0,V
AXP,2025-04-24 16:08:26.138338+00:00,265.19,45.0,V
AXP,2025-04-24 16:08:26.138617+00:00,265.19,25.0,V
ARE,2025-04-24 16:08:26.159340+00:00,77.27,1.0,V
AKAM,2025-04-24 16:08:26.194472+00:00,77.92,16.0,V
ABNB,2025-04-24 16:08:26.221289+00:00,120.39,50.0,V
ABNB,2025-04-24 16:08:26.221627+00:00,120.4,100.0,V
ABNB,2025-04-24 16:08:26.222318+00:00,120.4,2.0,V
AMZN,2025-04-24 16:08:26.322126+00:00,184.43,100.0,V
GOOG,2025-04-24 16:08:26.326117+00:00,160.19,63.0,V
GOOGL,2025-04-24 16:08:26.682686+00:00,157.955,100.0,V
ACN,2025-04-24 16:08:27.188646+00:00,289.795,1.0,V
MO,2025-04-24 16:08:27.188238+00:00,58.53,100.0,V
AEP,2025-04-24 16:08:27.345782+00:00,107.065,341.0,V
AEP,2025-04-24 16:08:27.346518+00:00,107.05,414.0,V
AMZN,2025-04-24 16:08:27.552808+00:00,184.37,100.0,V
GOOGL,2025-04-24 16:08:27.654053+00:00,157.93,93.0,V
AMD,2025-04-24 16:08:28.205969+00:00,93.38,38.0,V
MO,2025-04-24 16:08:28.372175+00:00,58.53,50.0,V
GOOG,2025-04-24 16:08:32.453281+00:00,160.14,100.0,V
ADBE,2025-04-24 16:08:32.664486+00:00,358.51,100.0,V
ADBE,2025-04-24 16:08:32.665059+00:00,358.51,70.0,V
AMD,2025-04-24 16:08:33.425566+00:00,93.38,100.0,V
MMM,2025-04-24 16:08:34.058391+00:00,138.545,4.0,V
MMM,2025-04-24 16:08:34.058424+00:00,138.545,4.0,V
MMM,2025-04-24 16:08:34.058908+00:00,138.545,10.0,V
GOOG,2025-04-24 16:08:34.856475+00:00,160.14,100.0,V
GOOGL,2025-04-24 16:08:36.278813+00:00,157.9,1.0,V
AMZN,2025-04-24 16:08:36.295550+00:00,184.295,2.0,V
AXP,2025-04-24 16:08:36.343342+00:00,265.18,1.0,V
AMT,2025-04-24 16:08:36.357003+00:00,214.0,100.0,V
AMT,2025-04-24 16:08:36.357406+00:00,214.0,100.0,V
ABBV,2025-04-24 16:08:36.357743+00:00,180.2,100.0,V
AMT,2025-04-24 16:08:36.370249+00:00,214.0,20.0,V
AMT,2025-04-24 16:08:36.370262+00:00,213.99,80.0,V
AMD,2025-04-24 16:08:36.439930+00:00,93.325,70.0,V
MMM,2025-04-24 16:08:36.580551+00:00,138.53,125.0,V
MMM,2025-04-24 16:08:36.580591+00:00,138.54,100.0,V
MMM,2025-04-24 16:08:36.580624+00:00,138.54,57.0,V
AMT,2025-04-24 16:08:36.647611+00:00,213.99,20.0,V
